brand_A	brand_B	replacable
Target	Lilly Pulitzer for Target	0
Target	Liz Lange for Target	0
Target	Prabal Gurung for Target	0
Nike	Nike Golf	1
Smashbox	Smashbox Cosmetics	1
Scholastic	Scholastic Children	1
Tarte	Starter	0
Tarte	Startee	0
Tarte	Letarte	0
Too Faced	Too Faced x Kat Von D	1
Samsung	Samsung Galaxy	1
Apple	Apple Bottoms	0
Apple	Green Apple	0
Apple	Pineapple Connection	0
Hollister	Hollister Co.	0
PINK	Celebrity Pink	0
PINK	Pinky	0
PINK	Pink Rose	0
PINK	Pink Dolphin	0
PINK	Pink Sugar	0
PINK	Pinkblush	0
PINK	MINKPINK	0
PINK	Pink Lotus	0
PINK	Pink Fizz	0
PINK	Tickled Pink Tees	0
PINK	Metro Pink	0
PINK	Pink Chicken	0
Sephora	SEPHORA COLLECTION	1
Sephora	Sephora Favorites	1
Sephora	SEPHORA+PANTONE UNIVERSE	1
patagonia	"Patagonia, Inc."	1
Adidas	adidas Originals	1
Adidas	adidas by Stella McCartney	1
Adidas	Jeremy Scott x Adidas	1
Adidas	adidas NEO	1
Pokemon	Pokemon USA	1
Spin Master	Spin Masters	1
Lululemon	lululemon athletica	1
MARC JACOBS	MARC BY MARC JACOBS	1
Steve Madden	Steven by Steve Madden	1
Ralph Lauren	Polo Ralph Lauren	1
Ralph Lauren	Lauren Ralph Lauren	1
Ralph Lauren	Ralph Lauren Collection	1
Ralph Lauren	Ralph Lauren Blue Label	1
Ralph Lauren	Denim & Supply Ralph Lauren	1
Ralph Lauren	RLX Ralph Lauren	1
Ralph Lauren	Ralph Lauren Black Label	1
Kate Spade	kate spade new york	1
Sony	Sony Pictures	1
Sony	Sony Electronics	1
Sony	Sony Computer Entertainment	1
GUESS	G by Guess	1
GUESS	Guess by Marciano	0
Younique	Younique products	1
Disney	Disney Collection	1
Disney	Disney Tsum Tsum	1
Disney	Disney Pixar Cars	1
Disney	Disney Princess	1
Disney	Disney Pixar	1
Disney	Disney Jr.	1
Disney	Disney Pixar Planes	1
Disney	Disney Interactive	1
Disney	Disney Baby	1
Disney	Disney Press	1
Disney	Walt Disney Studios Home Entertainment	1
Disney	Walt Disney Studios Entertainment	1
Ulta	"Ulta Salon, Cosmetics & Fragrance, Inc."	1
Kat Von D	Too Faced x Kat Von D	1
Kat Von D	Kat Von D Beauty	1
Jordan	Air Jordan	1
Jordan	Jordans	1
Jordan	Jordan Craig	0
Express	Urban Expressions	0
Express	Brooklyn Express	0
Express	Auto Expressions	0
Express	Cotton Express	0
Express	"Express, Inc."	1
Express	Western Express	0
Express	Expressions	0
Express	Natural Expressions	0
Express	Elegant Expressions	0
Express	Pasta Express	0
Liz Lange	Liz Lange for Target	1
Born	Liz Claiborne	0
Born	BornFree	0
Born	Claiborne	0
Born	Just Born	0
Born	Born Fly	0
Hasbro	Hasbro Games	1
Angels	Fashion Angels	0
Milani	Milani Cosmetics	1
PUMA	Puma SE	1
Converse	Converse Shoes	1
Maybelline	Maybelline New York	1
Marvel	Marvel Universe	1
Marvel	MarvelBeads	0
Timberland	The Timberland Company	0
Burberry	Burberry London	1
Burberry	Burberry Brit	1
George	George Foreman	0
George	George Simonton	0
Masters	Spin Masters	0
Nordstrom	Nordstrom Baby	1
Avon	"Avon Cosmetics, Inc"	1
Juicy Couture	Bird by Juicy Couture	1
Affliction	Sinful By Affliction	0
ASICS	AmazonBasics	0
ASICS	Back to Basics	0
Fisher-Price	Fisher-Price Baby	1
Bebe	Bebe Au Lait	0
Bebe	Hugga Bebe	0
Bebe	BebeSounds	0
Bebe	Bebe Stores	1
Bebe	Bon Bebe	0
Vintage	American Vintage	0
Vintage	Authentic Original Vintage Style	0
Vintage	Vintage Havana	0
Vintage	Vintage Red	0
Vintage	Reclaimed Vintage	0
Lilly Pulitzer	Lilly Pulitzer for Target	1
Always	Always For Me	0
Lucky Brand	Lucky Brand Jeans	1
Children's Place	The Children's Place	1
Mossimo	Mossimo Supply Co.	1
ASUS	Pegasus	0
Geneva	Geneva Platinum	1
Stila	Stila Cosmetics	1
VANS	Tracy Evans	0
Benefit	Benefit Cosmetics	1
Gillette	Gillette Venus	1
Nicole Miller	Nicole by Nicole Miller	1
ELLE	Laura Geller	0
ELLE	Annabelle	0
ELLE	MICHI by Michelle Watson	0
ELLE	Excelled	0
ELLE	My Michelle	0
ELLE	Ellen Tracy	0
ELLE	Belleek	0
ELLE	Breckelles	0
ELLE	Corelle	0
ELLE	Cottonelle	0
ELLE	Ambrielle	0
ELLE	Belle Du Jour	0
ELLE	Vera Pelle	0
ELLE	Chantelle	0
ELLE	Pelle	0
ELLE	Joe & Elle	0
ELLE	Mueller	0
ELLE	Seychelles	0
ELLE	Linea Pelle	0
ELLE	Belle by Sigerson Morrison	0
ELLE	Anne Michelle	0
ELLE	Danielle Nicole	0
ELLE	Bagatelle	0
ELLE	Ellemenno	0
ELLE	Laura Geller Makeup	0
ELLE	Pelle Pelle	0
ELLE	Dantelle	0
ELLE	LaBelle	0
ELLE	MyChelle Dermaceuticals	0
Lorac	Floracraft	0
Hunter	Hunter Boots	1
TOMS	Apple Bottoms	0
Betsey Johnson	Betsey Johnson Label	1
Clinique	Clinique Du Rond	0
ZARA	Zara Terez	0
Fuji	Fujifilm	1
Sonoma	Williams Sonoma	0
Vince Camuto	Two by Vince Camuto	1
Mac Cosmetic	MAC Cosmetics	1
Champion	C by Champion	1
Champion	Champion Sports	1
Sinful	Sinful By Affliction	1
Dell	Ardell	0
Dell	Riddell	0
Arizona	Arizona Jean Company	1
Lush	Babies R Us Plush	0
Lush	Lush Clothing	1
Lush	Blush	0
Lush	Toys R Us Plush	0
Lush	Pinkblush	0
Eddie Bauer	Eddie Bauer Clothing	1
Beats	Beats by Dr. Dre	1
Sperry	Sperrys	1
Sperry	Sperry Top-Sider	0
Buckle	Buckley Supply Co.	1
SKECHERS	Skechers Kids	0
Versace	Versace Jeans	1
Versace	Versace Collection	1
Versace	Versus By Versace	1
Yves Saint Laurent	YSL Yves Saint Laurent	1
Marciano	Guess by Marciano	1
IT Cosmetics	Benefit Cosmetics	0
Brooks	Brooks Brothers	0
Brooks	Bobbie Brooks	0
Brooks	Brookstone	0
Brooks	David Brooks	0
Brighton	Brighton Collectibles	1
Justin	Justin Boots	1
Regal	Regalo	0
Brita	Britax	0
Essie	Miss Jessie's	0
Oral B	Coral Bay	0
Ann Taylor	Ann Taylor LOFT	1
Lime Crime	Lime Crime Cosmetics	1
Revlon	Revlon Colorsilk	1
Revlon	Revlon Group	1
Thrasher	Thrasher Magazine	1
Gerber	Gerber Good Start	0
Gerber	Gerber Foods	0
Gerber	Gerber Childrenswear	0
Oakley	"Oakley, Inc."	1
Ganz	Nancy Ganz	0
Apt.	Apt. 9	1
Triangl	City Triangles	0
Triangl	triangl swimwear	1
Machine	Singing Machine	0
Machine	Emachines	0
TopShop	Topshop Petite	1
Burt's Bees	Burt's Bees Baby	1
Danskin	Danskin Now	1
Crest	NorthCrest	0
Boohoo	Boohoo Plus	1
Boohoo	Boohoo Petite	1
Valentino	Valentino Garavani	1
Valentino	RED Valentino	0
Silver Jeans	Silver Jeans Co.	1
True Religion	True Religion Brand Jeans	1
Toys R Us	Toys R Us Plush	1
Laura Geller	Laura Geller Makeup	1
Melissa	Melissa & Doug	0
Melissa	Melissa McCarthy	0
Melissa	Mini Melissa	0
Melissa	Mel by Melissa	1
Melissa	Melissa Odabash	1
Coty	"Coty, Inc."	1
Baby Phat	Phat Farm/Baby Phat	1
Sam Edelman	Circus by Sam Edelman	1
Longchamp	Longchamp Paris	0
Saint Laurent	YSL Yves Saint Laurent	1
Saint Laurent	Yves Saint Laurent	1
Bass	Joe Benbasset	0
Bass	Bassett Furniture	0
Bass	G.H. Bass & Co.	0
Bass	Dennis Basso	0
Yankee Candle	Yankee Candle Company	1
Chaps	Chapstick	0
Bandai	Bandai Namco	1
Bauer	Eddie Bauer	1
Bauer	Eddie Bauer Clothing	1
Degree	90 Degree By Reflex	0
