character,count,to_replace_with
é,80567,e
ᴇ,2309,E
ô,2145,o
ᴀ,1517,A
ᴏ,1320,o
ᴛ,1115,T
ɴ,1106,N
ɪ,1066,I
ʀ,1039,R
è,973,e
ō,686,o
ғ,645,F
ᴘ,594,P
É,583,E
ü,486,u
ᴜ,464,U
ᴍ,457,M
ᴅ,446,D
ʜ,432,H
ʏ,431,Y
ñ,430,n
ᴄ,425,c
í,382,i
ɢ,353,G
ʙ,300,B
á,266,a
ç,248,c
¡,235,i
ó,234,o
ᴋ,219,K
Ꭼ,187,E
ē,180,e
Ē,174,E
ᴡ,174,w
Ü,154,U
℃,147,Celsius degree
≥,132,greater than or equal
û,125,u
Ô,118,O
Ꮪ,118,S
Ꮮ,113,L
Ꭺ,113,A
ѕ,109,s
Ꭲ,90,T
ι,85,l
Ꮎ,85,theta
≤,82,less than or equal
±,82,plus-minus
α,81,alpha
ú,81,u
Ω,80,omega
⚪,78,o
Ø,75,oe
℉,75,Fahrenheit degree
т,73,T
Á,73,A
ë,72,e
ᖇ,72,R
ø,71,oe
є,65,epsilon
Ꭰ,64,D
à,60,a
È,58,E
υ,57,upsilon
ᒪ,56,L
ö,55,o
ッ,52,ah
ツ,52,ah
Ꮹ,51,a
ǫ,49,O
Ꮯ,48,C
в,48,B
ä,48,a
ⓔ,46,e
ᑎ,42,N
Í,41,I
Ᏼ,39,B
Ꮋ,37,H
â,37,a
ᗰ,36,m
ì,34,i
Ꮲ,34,P
н,33,H
σ,32,sigma
ℹ,31,i
м,31,M
ᑕ,30,C
ā,30,a
ᗪ,29,D
ï,29,i
の,28,no
Ꮇ,27,M
ω,27,omega
Ꮩ,27,V
す,26,su
ᴢ,26,z
で,26,de
ᕼ,25,H
²,24,square
ᑭ,23,rho
い,23,i
Ꮤ,23,W
ᴬ,22,A
ê,22,e
Õ,22,O
Ó,22,O
å,21,a
ᴱ,21,E
î,21,i
ⓛ,21,1
ま,20,ma
ū,19,u
ⓟ,19,p
Ñ,19,N
İ,19,I
ﬁ,18,fi
ᖴ,18,F
一,18,one
ã,17,a
¹,17,1
화,17,hwa
ᴺ,17,N
し,17,sh
Ë,17,E
ˢ,17,s
Σ,17,sigma
ー,16,one
ᴿ,15,R
♏,15,m
Â,15,A
ン,15,n
は,15,ha
ò,15,o
ĸ,15,K
ⓕ,14,f
ん,14,N
ⓢ,14,s
§,14,chapter
ら,14,ra
ᵀ,14,T
ᴵ,14,I
と,13,to
À,13,A
お,13,O
Ç,13,C
ᑌ,13,U
ᗷ,13,B
ᗯ,13,W
ℓ,13,l
̊,13,degree
х,12,X
Ｆ,12,F
Ｑ,12,Q
ᵞ,12,Y
ⓜ,12,m
Ａ,12,A
ᴸ,12,L
な,12,na
く,12,ku
Ä,12,A
ᴊ,12,J
本,12,ben
さ,11,sa
ⓣ,11,t
ᴴ,11,H
り,11,ri
ⓡ,11,r
а,11,a
Ĺ,10,L
ラ,10,ra
ド,10,do
у,9,y
ù,9,u
č,9,c
я,9,R
∀,9,for all
,9,TM
が,9,ga
о,9,o
е,9,e
ノ,9,no
ᵁ,9,U
ⓒ,8,c
Ö,8,O
ⓘ,8,i
ⓗ,7,h
ⓦ,7,w
日,7,ri
Ⓡ,7,R
Û,7,U
Ã,7,A
ㅇ,6,o
≈,6,approximately equal
ᴰ,6,D
̲,6,_
ᵂ,6,W
Ⓢ,6,s
с,6,c
中,6,zhong
ᐯ,6,V
送,6,song
冊,6,ce
š,6,s
画,5,hua
❶,5,1
ⓨ,5,y
❸,5,3
絵,5,hui
ⓐ,5,a
➁,5,2
Ѕ,5,S
ᴹ,5,M
θ,5,theta
➀,5,1
❷,5,2
ć,5,c
语,5,yu
ś,5,s
太,4,tai
ň,4,n
õ,4,o
і,4,i
九,4,nine
ộ,4,o
映,4,ying
ⓓ,4,d
文,4,wen
㎡,4,square meter
①,4,1
Ꮖ,4,I
語,4,yu
Ê,4,E
Α,4,A
②,4,2
品,4,pin
ß,4,b
名,3,ming
ᴳ,3,G
Î,3,I
玉,3,yu
ᶜ,3,C
ν,3,v
Ⓕ,3,F
Ú,3,U
問,3,wen
Ō,3,0
化,3,hua
美,3,mei
料,3,liao
合,3,he
Ì,3,I
ｉ,3,i
ᶠ,3,f
明,3,ming
％,3,0/0
ｖ,3,V
Ṭ,3,T
ᴾ,3,P
Ÿ,3,Y
ρ,3,rho
译,3,yi
Ś,2,S
ⓝ,2,n
ń,2,n
英,2,ying
╰,2,L
能,2,neng
Ι,2,I
人,2,ren
家,2,jia
Ⓤ,2,U
№,2,No
生,2,sheng
Є,2,je
ⓑ,2,b
❺,2,5
ᴮ,2,B
③,2,3
Ò,2,O
Ԁ,2,d
幼,2,you
ƒ,2,f
庭,2,ting
用,2,yong
ő,2,o
大,2,da
ㅡ,2,yi
可,2,ke
様,2,yang
水,2,shui
Ρ,2,P
点,2,dian
❹,2,4
妝,2,zhuang
字,2,zi
Β,2,B
ę,2,e
Ꮓ,2,Z
ý,2,y
言,2,yan
発,2,fa
Č,2,C
気,2,qi
ă,2,a
願,2,yuan
Ū,2,U
小,2,xiao
商,2,shang
他,2,ta
下,2,xia
態,2,tai
β,2,beta
Ⓛ,2,L
ﬂ,2,fl
状,2,zhuang
不,2,bu
≦,2,less than or equal
ź,2,z
ě,2,e
Ń,2,N
Ṅ,2,N
公,2,gong
君,2,jun
ᑫ,2,9
科,2,ke
心,2,xin
専,2,zhuan
白,2,bai
漢,2,han
⁂,2,sen
專,2,zhuan
℮,1,xue
ｆ,1,f
ყ,1,g
Š,1,S
冒,1,mao
ļ,1,l
Ⓣ,1,T
ҡ,1,kappa
担,1,dan
説,1,shuo
満,1,man
７,1,7
ą,1,a
测,1,ce
悪,1,e
刺,1,ci
機,1,ji
平,1,ping
曜,1,yao
工,1,gong
左,1,zuo
巨,1,ju
体,1,ti
愛,1,ai
確,1,que
ォ,1,cai
作,1,zuo
к,1,K
ｕ,1,u
ķ,1,k
紫,1,zi
傷,1,shang
时,1,shi
年,1,nian
島,1,dao
Κ,1,K
反,1,fan
ố,1,o
安,1,an
覚,1,jue
対,1,dui
詳,1,xiang
綺,1,qi
園,1,yuan
Ω,1,omega
ｏ,1,o
Ⓔ,1,E
М,1,M
χ,1,X
件,1,jian
声,1,sheng
葉,1,ye
方,1,fang
德,1,de
魚,1,yu
未,1,wei
即,1,ji
ư,1,u
Ҡ,1,kappa
森,1,sen
保,1,bao
跡,1,ji
⛰,1,mountain
Ⓞ,1,0
数,1,shu
立,1,li
賊,1,zei
汚,1,wu
無,1,wu
週,1,zhou
Å,1,A
ª,1,a
招,1,zhao
界,1,jie
⑶,1,3
检,1,jian
ặ,1,a
表,1,biao
片,1,pian
挂,1,gua
ə,1,e
ĕ,1,e
℠,1,5M
绣,1,xiu
ｃ,1,C
刚,1,gang
关,1,guan
π,1,pi
育,1,yu
早,1,zao
ș,1,s
≧,1,greater than or equal
绸,1,chou
đ,1,d
ổ,1,o
р,1,p
製,1,zhi
Ð,1,D
Т,1,T
形,1,xing
Ę,1,E
Ā,1,A
古,1,gu
音,1,yin
軽,1,qing
補,1,bu
国,1,guo
掛,1,gua
甚,1,shen
Ï,1,I
Ⓘ,1,I
⁴,1,4
զ,1,q
修,1,xiu
,1,ling
別,1,bie
ả,1,a
加,1,jia
上,1,shang
拳,1,quan
麗,1,li
闭,1,bi
୨,1,9
ŕ,1,r
Ṡ,1,S
細,1,xi
聴,1,ting
算,1,suan
右,1,you
向,1,xiang
考,1,kao
３,1,3
Ⓨ,1,Y
丝,1,si
子,1,zi
館,1,guan
ṡ,1,s
緑,1,lv
⑤,1,5
自,1,zi
ŷ,1,y
ꜱ,1,s
₂,1,2
Ṃ,1,M
色,1,se
❻,1,6
猫,1,mao
结,1,jie
目,1,mu
伝,1,chuan
海,1,hai
玻,1,bo
薄,1,bo
真,1,zhen
負,1,fu
的,1,de
再,1,zai
裏,1,li
А,1,A
供,1,gong
Ģ,1,G
魔,1,mo
険,1,xian
ｗ,1,w
ｎ,1,n
ⓤ,1,u
ｅ,1,e
￦,1,W
ọ,1,o
月,1,yue
Ⓒ,1,C
奇,1,qi
視,1,shi
璃,1,li
以,1,yi
简,1,jian
ċ,1,c
ꜰ,1,F
ĺ,1,l
付,1,fu
楽,1,le
版,1,ban
ｘ,1,x
術,1,shu
宅,1,zhai
剣,1,jian
ｄ,1,d
